"Web Search Interest: ""smoking""",,
United States; 2004 - present,,
,,
Interest over time,,
Week,smoking,
2005-02-20 - 2005-02-26,41,
2005-02-27 - 2005-03-05,43,
2005-03-06 - 2005-03-12,44,
2005-03-13 - 2005-03-19,41,
2005-03-20 - 2005-03-26,38,
2005-03-27 - 2005-04-02,38,
2005-04-03 - 2005-04-09,48,
2005-04-10 - 2005-04-16,43,
2005-04-17 - 2005-04-23,47,
2005-04-24 - 2005-04-30,47,
2005-05-01 - 2005-05-07,45,
2005-05-08 - 2005-05-14,42,
2005-05-15 - 2005-05-21,39,
2005-05-22 - 2005-05-28,36,
2005-05-29 - 2005-06-04,33,
2005-06-05 - 2005-06-11,31,
2005-06-12 - 2005-06-18,29,
2005-06-19 - 2005-06-25,29,
2005-06-26 - 2005-07-02,29,
2005-07-03 - 2005-07-09,28,
2005-07-10 - 2005-07-16,27,
2005-07-17 - 2005-07-23,27,
2005-07-24 - 2005-07-30,28,
2005-07-31 - 2005-08-06,28,
2005-08-07 - 2005-08-13,38,
2005-08-14 - 2005-08-20,32,
2005-08-21 - 2005-08-27,28,
2005-08-28 - 2005-09-03,26,
2005-09-04 - 2005-09-10,29,
2005-09-11 - 2005-09-17,29,
2005-09-18 - 2005-09-24,33,
2005-09-25 - 2005-10-01,33,
2005-10-02 - 2005-10-08,36,
2005-10-09 - 2005-10-15,33,
2005-10-16 - 2005-10-22,35,
2005-10-23 - 2005-10-29,37,
2005-10-30 - 2005-11-05,40,
2005-11-06 - 2005-11-12,42,
2005-11-13 - 2005-11-19,46,
2005-11-20 - 2005-11-26,39,
2005-11-27 - 2005-12-03,41,
2005-12-04 - 2005-12-10,41,
2005-12-11 - 2005-12-17,36,
2005-12-18 - 2005-12-24,27,
2005-12-25 - 2005-12-31,30,
2006-01-01 - 2006-01-07,43,
2006-01-08 - 2006-01-14,46,
2006-01-15 - 2006-01-21,39,
2006-01-22 - 2006-01-28,38,
2006-01-29 - 2006-02-04,38,
2006-02-05 - 2006-02-11,35,
2006-02-12 - 2006-02-18,36,
2006-02-19 - 2006-02-25,38,
2006-02-26 - 2006-03-04,38,
2006-03-05 - 2006-03-11,39,
2006-03-12 - 2006-03-18,36,
2006-03-19 - 2006-03-25,41,
2006-03-26 - 2006-04-01,38,
2006-04-02 - 2006-04-08,41,
2006-04-09 - 2006-04-15,40,
2006-04-16 - 2006-04-22,40,
2006-04-23 - 2006-04-29,42,
2006-04-30 - 2006-05-06,38,
2006-05-07 - 2006-05-13,38,
2006-05-14 - 2006-05-20,35,
2006-05-21 - 2006-05-27,33,
2006-05-28 - 2006-06-03,31,
2006-06-04 - 2006-06-10,30,
2006-06-11 - 2006-06-17,28,
2006-06-18 - 2006-06-24,29,
2006-06-25 - 2006-07-01,30,
2006-07-02 - 2006-07-08,28,
2006-07-09 - 2006-07-15,27,
2006-07-16 - 2006-07-22,26,
2006-07-23 - 2006-07-29,27,
2006-07-30 - 2006-08-05,27,
2006-08-06 - 2006-08-12,27,
2006-08-13 - 2006-08-19,27,
2006-08-20 - 2006-08-26,26,
2006-08-27 - 2006-09-02,26,
2006-09-03 - 2006-09-09,28,
2006-09-10 - 2006-09-16,30,
2006-09-17 - 2006-09-23,32,
2006-09-24 - 2006-09-30,35,
2006-10-01 - 2006-10-07,32,
2006-10-08 - 2006-10-14,34,
2006-10-15 - 2006-10-21,34,
2006-10-22 - 2006-10-28,38,
2006-10-29 - 2006-11-04,37,
2006-11-05 - 2006-11-11,39,
2006-11-12 - 2006-11-18,43,
2006-11-19 - 2006-11-25,35,
2006-11-26 - 2006-12-02,39,
2006-12-03 - 2006-12-09,40,
2006-12-10 - 2006-12-16,35,
2006-12-17 - 2006-12-23,31,
2006-12-24 - 2006-12-30,30,
2006-12-31 - 2007-01-06,47,
2007-01-07 - 2007-01-13,41,
2007-01-14 - 2007-01-20,37,
2007-01-21 - 2007-01-27,38,
2007-01-28 - 2007-02-03,38,
2007-02-04 - 2007-02-10,34,
2007-02-11 - 2007-02-17,33,
2007-02-18 - 2007-02-24,35,
2007-02-25 - 2007-03-03,38,
2007-03-04 - 2007-03-10,41,
2007-03-11 - 2007-03-17,33,
2007-03-18 - 2007-03-24,35,
2007-03-25 - 2007-03-31,35,
2007-04-01 - 2007-04-07,32,
2007-04-08 - 2007-04-14,35,
2007-04-15 - 2007-04-21,37,
2007-04-22 - 2007-04-28,35,
2007-04-29 - 2007-05-05,36,
2007-05-06 - 2007-05-12,35,
2007-05-13 - 2007-05-19,33,
2007-05-20 - 2007-05-26,30,
2007-05-27 - 2007-06-02,30,
2007-06-03 - 2007-06-09,29,
2007-06-10 - 2007-06-16,29,
2007-06-17 - 2007-06-23,26,
2007-06-24 - 2007-06-30,27,
2007-07-01 - 2007-07-07,26,
2007-07-08 - 2007-07-14,28,
2007-07-15 - 2007-07-21,27,
2007-07-22 - 2007-07-28,29,
2007-07-29 - 2007-08-04,29,
2007-08-05 - 2007-08-11,27,
2007-08-12 - 2007-08-18,24,
2007-08-19 - 2007-08-25,25,
2007-08-26 - 2007-09-01,26,
2007-09-02 - 2007-09-08,27,
2007-09-09 - 2007-09-15,28,
2007-09-16 - 2007-09-22,30,
2007-09-23 - 2007-09-29,31,
2007-09-30 - 2007-10-06,32,
2007-10-07 - 2007-10-13,31,
2007-10-14 - 2007-10-20,32,
2007-10-21 - 2007-10-27,31,
2007-10-28 - 2007-11-03,33,
2007-11-04 - 2007-11-10,34,
2007-11-11 - 2007-11-17,36,
2007-11-18 - 2007-11-24,31,
2007-11-25 - 2007-12-01,35,
2007-12-02 - 2007-12-08,32,
2007-12-09 - 2007-12-15,30,
2007-12-16 - 2007-12-22,26,
2007-12-23 - 2007-12-29,25,
2007-12-30 - 2008-01-05,36,
2008-01-06 - 2008-01-12,35,
2008-01-13 - 2008-01-19,30,
2008-01-20 - 2008-01-26,33,
2008-01-27 - 2008-02-02,32,
2008-02-03 - 2008-02-09,30,
2008-02-10 - 2008-02-16,31,
2008-02-17 - 2008-02-23,29,
2008-02-24 - 2008-03-01,33,
2008-03-02 - 2008-03-08,30,
2008-03-09 - 2008-03-15,31,
2008-03-16 - 2008-03-22,29,
2008-03-23 - 2008-03-29,32,
2008-03-30 - 2008-04-05,33,
2008-04-06 - 2008-04-12,32,
2008-04-13 - 2008-04-19,33,
2008-04-20 - 2008-04-26,34,
2008-04-27 - 2008-05-03,31,
2008-05-04 - 2008-05-10,31,
2008-05-11 - 2008-05-17,28,
2008-05-18 - 2008-05-24,28,
2008-05-25 - 2008-05-31,26,
2008-06-01 - 2008-06-07,27,
2008-06-08 - 2008-06-14,26,
2008-06-15 - 2008-06-21,27,
2008-06-22 - 2008-06-28,25,
2008-06-29 - 2008-07-05,25,
2008-07-06 - 2008-07-12,24,
2008-07-13 - 2008-07-19,24,
2008-07-20 - 2008-07-26,25,
2008-07-27 - 2008-08-02,24,
2008-08-03 - 2008-08-09,23,
2008-08-10 - 2008-08-16,22,
2008-08-17 - 2008-08-23,23,
2008-08-24 - 2008-08-30,21,
2008-08-31 - 2008-09-06,24,
2008-09-07 - 2008-09-13,26,
2008-09-14 - 2008-09-20,25,
2008-09-21 - 2008-09-27,26,
2008-09-28 - 2008-10-04,27,
2008-10-05 - 2008-10-11,27,
2008-10-12 - 2008-10-18,28,
2008-10-19 - 2008-10-25,29,
2008-10-26 - 2008-11-01,28,
2008-11-02 - 2008-11-08,28,
2008-11-09 - 2008-11-15,31,
2008-11-16 - 2008-11-22,34,
2008-11-23 - 2008-11-29,28,
2008-11-30 - 2008-12-06,29,
2008-12-07 - 2008-12-13,30,
2008-12-14 - 2008-12-20,26,
2008-12-21 - 2008-12-27,22,
2008-12-28 - 2009-01-03,28,
2009-01-04 - 2009-01-10,32,
2009-01-11 - 2009-01-17,31,
2009-01-18 - 2009-01-24,28,
2009-01-25 - 2009-01-31,29,
2009-02-01 - 2009-02-07,82,
2009-02-08 - 2009-02-14,38,
2009-02-15 - 2009-02-21,31,
2009-02-22 - 2009-02-28,31,
2009-03-01 - 2009-03-07,31,
2009-03-08 - 2009-03-14,33,
2009-03-15 - 2009-03-21,33,
2009-03-22 - 2009-03-28,33,
2009-03-29 - 2009-04-04,38,
2009-04-05 - 2009-04-11,35,
2009-04-12 - 2009-04-18,32,
2009-04-19 - 2009-04-25,34,
2009-04-26 - 2009-05-02,31,
2009-05-03 - 2009-05-09,29,
2009-05-10 - 2009-05-16,30,
2009-05-17 - 2009-05-23,28,
2009-05-24 - 2009-05-30,26,
2009-05-31 - 2009-06-06,27,
2009-06-07 - 2009-06-13,26,
2009-06-14 - 2009-06-20,25,
2009-06-21 - 2009-06-27,26,
2009-06-28 - 2009-07-04,25,
2009-07-05 - 2009-07-11,25,
2009-07-12 - 2009-07-18,26,
2009-07-19 - 2009-07-25,24,
2009-07-26 - 2009-08-01,24,
2009-08-02 - 2009-08-08,23,
2009-08-09 - 2009-08-15,24,
2009-08-16 - 2009-08-22,23,
2009-08-23 - 2009-08-29,24,
2009-08-30 - 2009-09-05,24,
2009-09-06 - 2009-09-12,24,
2009-09-13 - 2009-09-19,25,
2009-09-20 - 2009-09-26,27,
2009-09-27 - 2009-10-03,27,
2009-10-04 - 2009-10-10,27,
2009-10-11 - 2009-10-17,28,
2009-10-18 - 2009-10-24,28,
2009-10-25 - 2009-10-31,28,
2009-11-01 - 2009-11-07,30,
2009-11-08 - 2009-11-14,30,
2009-11-15 - 2009-11-21,32,
2009-11-22 - 2009-11-28,28,
2009-11-29 - 2009-12-05,30,
2009-12-06 - 2009-12-12,27,
2009-12-13 - 2009-12-19,27,
2009-12-20 - 2009-12-26,23,
2009-12-27 - 2010-01-02,26,
2010-01-03 - 2010-01-09,31,
2010-01-10 - 2010-01-16,28,
2010-01-17 - 2010-01-23,27,
2010-01-24 - 2010-01-30,27,
2010-01-31 - 2010-02-06,27,
2010-02-07 - 2010-02-13,26,
2010-02-14 - 2010-02-20,28,
2010-02-21 - 2010-02-27,29,
2010-02-28 - 2010-03-06,29,
2010-03-07 - 2010-03-13,29,
2010-03-14 - 2010-03-20,28,
2010-03-21 - 2010-03-27,29,
2010-03-28 - 2010-04-03,27,
2010-04-04 - 2010-04-10,28,
2010-04-11 - 2010-04-17,29,
2010-04-18 - 2010-04-24,32,
2010-04-25 - 2010-05-01,30,
2010-05-02 - 2010-05-08,28,
2010-05-09 - 2010-05-15,26,
2010-05-16 - 2010-05-22,26,
2010-05-23 - 2010-05-29,50,
2010-05-30 - 2010-06-05,39,
2010-06-06 - 2010-06-12,31,
2010-06-13 - 2010-06-19,27,
2010-06-20 - 2010-06-26,25,
2010-06-27 - 2010-07-03,28,
2010-07-04 - 2010-07-10,26,
2010-07-11 - 2010-07-17,26,
2010-07-18 - 2010-07-24,26,
2010-07-25 - 2010-07-31,34,
2010-08-01 - 2010-08-07,37,
2010-08-08 - 2010-08-14,25,
2010-08-15 - 2010-08-21,25,
2010-08-22 - 2010-08-28,24,
2010-08-29 - 2010-09-04,28,
2010-09-05 - 2010-09-11,28,
2010-09-12 - 2010-09-18,27,
2010-09-19 - 2010-09-25,28,
2010-09-26 - 2010-10-02,26,
2010-10-03 - 2010-10-09,28,
2010-10-10 - 2010-10-16,28,
2010-10-17 - 2010-10-23,27,
2010-10-24 - 2010-10-30,28,
2010-10-31 - 2010-11-06,30,
2010-11-07 - 2010-11-13,30,
2010-11-14 - 2010-11-20,30,
2010-11-21 - 2010-11-27,27,
2010-11-28 - 2010-12-04,29,
2010-12-05 - 2010-12-11,36,
2010-12-12 - 2010-12-18,37,
2010-12-19 - 2010-12-25,27,
2010-12-26 - 2011-01-01,29,
2011-01-02 - 2011-01-08,35,
2011-01-09 - 2011-01-15,29,
2011-01-16 - 2011-01-22,31,
2011-01-23 - 2011-01-29,30,
2011-01-30 - 2011-02-05,29,
2011-02-06 - 2011-02-12,30,
2011-02-13 - 2011-02-19,31,
2011-02-20 - 2011-02-26,30,
2011-02-27 - 2011-03-05,32,
2011-03-06 - 2011-03-12,32,
2011-03-13 - 2011-03-19,30,
2011-03-20 - 2011-03-26,30,
2011-03-27 - 2011-04-02,31,
2011-04-03 - 2011-04-09,31,
2011-04-10 - 2011-04-16,31,
2011-04-17 - 2011-04-23,33,
2011-04-24 - 2011-04-30,30,
2011-05-01 - 2011-05-07,29,
2011-05-08 - 2011-05-14,29,
2011-05-15 - 2011-05-21,28,
2011-05-22 - 2011-05-28,29,
2011-05-29 - 2011-06-04,28,
2011-06-05 - 2011-06-11,27,
2011-06-12 - 2011-06-18,28,
2011-06-19 - 2011-06-25,29,
2011-06-26 - 2011-07-02,28,
2011-07-03 - 2011-07-09,27,
2011-07-10 - 2011-07-16,27,
2011-07-17 - 2011-07-23,27,
2011-07-24 - 2011-07-30,28,
2011-07-31 - 2011-08-06,29,
2011-08-07 - 2011-08-13,26,
2011-08-14 - 2011-08-20,27,
2011-08-21 - 2011-08-27,25,
2011-08-28 - 2011-09-03,26,
2011-09-04 - 2011-09-10,27,
2011-09-11 - 2011-09-17,28,
2011-09-18 - 2011-09-24,28,
2011-09-25 - 2011-10-01,28,
2011-10-02 - 2011-10-08,29,
2011-10-09 - 2011-10-15,29,
2011-10-16 - 2011-10-22,29,
2011-10-23 - 2011-10-29,32,
2011-10-30 - 2011-11-05,30,
2011-11-06 - 2011-11-12,30,
2011-11-13 - 2011-11-19,32,
2011-11-20 - 2011-11-26,29,
2011-11-27 - 2011-12-03,32,
2011-12-04 - 2011-12-10,31,
2011-12-11 - 2011-12-17,28,
2011-12-18 - 2011-12-24,26,
2011-12-25 - 2011-12-31,27,
2012-01-01 - 2012-01-07,33,
2012-01-08 - 2012-01-14,31,
2012-01-15 - 2012-01-21,31,
2012-01-22 - 2012-01-28,31,
2012-01-29 - 2012-02-04,31,
2012-02-05 - 2012-02-11,30,
2012-02-12 - 2012-02-18,30,
2012-02-19 - 2012-02-25,31,
2012-02-26 - 2012-03-03,31,
2012-03-04 - 2012-03-10,31,
2012-03-11 - 2012-03-17,30,
2012-03-18 - 2012-03-24,32,
2012-03-25 - 2012-03-31,33,
2012-04-01 - 2012-04-07,33,
2012-04-08 - 2012-04-14,34,
2012-04-15 - 2012-04-21,37,
2012-04-22 - 2012-04-28,34,
2012-04-29 - 2012-05-05,34,
2012-05-06 - 2012-05-12,31,
2012-05-13 - 2012-05-19,31,
2012-05-20 - 2012-05-26,31,
2012-05-27 - 2012-06-02,31,
2012-06-03 - 2012-06-09,31,
2012-06-10 - 2012-06-16,30,
2012-06-17 - 2012-06-23,29,
2012-06-24 - 2012-06-30,29,
2012-07-01 - 2012-07-07,29,
2012-07-08 - 2012-07-14,30,
2012-07-15 - 2012-07-21,29,
2012-07-22 - 2012-07-28,30,
2012-07-29 - 2012-08-04,31,
2012-08-05 - 2012-08-11,30,
2012-08-12 - 2012-08-18,30,
2012-08-19 - 2012-08-25,29,
2012-08-26 - 2012-09-01,28,
2012-09-02 - 2012-09-08,27,
2012-09-09 - 2012-09-15,29,
2012-09-16 - 2012-09-22,30,
2012-09-23 - 2012-09-29,30,
2012-09-30 - 2012-10-06,30,
2012-10-07 - 2012-10-13,28,
2012-10-14 - 2012-10-20,29,
2012-10-21 - 2012-10-27,30,
2012-10-28 - 2012-11-03,27,
2012-11-04 - 2012-11-10,29,
2012-11-11 - 2012-11-17,31,
2012-11-18 - 2012-11-24,30,
2012-11-25 - 2012-12-01,31,
2012-12-02 - 2012-12-08,31,
2012-12-09 - 2012-12-15,28,
2012-12-16 - 2012-12-22,27,
2012-12-23 - 2012-12-29,27,
2012-12-30 - 2013-01-05,39,
2013-01-06 - 2013-01-12,100,
2013-01-13 - 2013-01-19,36,
2013-01-20 - 2013-01-26,33,
2013-01-27 - 2013-02-02,32,
2013-02-03 - 2013-02-09,31,
2013-02-10 - 2013-02-16,31,
2013-02-17 - 2013-02-23,32,
2013-02-24 - 2013-03-02, ,
,,
Interest over time,,
Week,Health,smoking
2004-01-04 - 2004-01-10,0%,0%
2004-01-11 - 2004-01-17,6%,-7%
2004-01-18 - 2004-01-24,3%,-9%
2004-01-25 - 2004-01-31,1%,-14%
2004-02-01 - 2004-02-07,0%,-11%
2004-02-08 - 2004-02-14,2%,-7%
2004-02-15 - 2004-02-21,1%,-7%
2004-02-22 - 2004-02-28,5%,0%
2004-02-29 - 2004-03-06,6%,-7%
2004-03-07 - 2004-03-13,1%,0%
2004-03-14 - 2004-03-20,7%,0%
2004-03-21 - 2004-03-27,-3%,-7%
2004-03-28 - 2004-04-03,5%,11%
2004-04-04 - 2004-04-10,7%,-9%
2004-04-11 - 2004-04-17,3%,-11%
2004-04-18 - 2004-04-24,7%,9%
2004-04-25 - 2004-05-01,6%,2%
2004-05-02 - 2004-05-08,2%,-9%
2004-05-09 - 2004-05-15,0%,-9%
2004-05-16 - 2004-05-22,2%,-11%
2004-05-23 - 2004-05-29,0%,-11%
2004-05-30 - 2004-06-05,-1%,-18%
2004-06-06 - 2004-06-12,0%,-32%
2004-06-13 - 2004-06-19,2%,-34%
2004-06-20 - 2004-06-26,0%,-27%
2004-06-27 - 2004-07-03,0%,-20%
2004-07-04 - 2004-07-10,0%,-32%
2004-07-11 - 2004-07-17,3%,-32%
2004-07-18 - 2004-07-24,7%,-32%
2004-07-25 - 2004-07-31,1%,-39%
2004-08-01 - 2004-08-07,1%,-39%
2004-08-08 - 2004-08-14,-1%,-41%
2004-08-15 - 2004-08-21,0%,-41%
2004-08-22 - 2004-08-28,1%,-43%
2004-08-29 - 2004-09-04,0%,-30%
2004-09-05 - 2004-09-11,-2%,-30%
2004-09-12 - 2004-09-18,-1%,-30%
2004-09-19 - 2004-09-25,2%,-20%
2004-09-26 - 2004-10-02,3%,-20%
2004-10-03 - 2004-10-09,9%,-16%
2004-10-10 - 2004-10-16,6%,-9%
2004-10-17 - 2004-10-23,7%,-14%
2004-10-24 - 2004-10-30,2%,-7%
2004-10-31 - 2004-11-06,-1%,-14%
2004-11-07 - 2004-11-13,3%,0%
2004-11-14 - 2004-11-20,9%,18%
2004-11-21 - 2004-11-27,-5%,-9%
2004-11-28 - 2004-12-04,10%,0%
2004-12-05 - 2004-12-11,3%,-5%
2004-12-12 - 2004-12-18,-5%,-16%
2004-12-19 - 2004-12-25,-14%,-36%
2004-12-26 - 2005-01-01,-9%,-36%
2005-01-02 - 2005-01-08,3%,-2%
2005-01-09 - 2005-01-15,2%,-11%
2005-01-16 - 2005-01-22,2%,-18%
2005-01-23 - 2005-01-29,5%,-9%
2005-01-30 - 2005-02-05,7%,-9%
2005-02-06 - 2005-02-12,8%,-5%
2005-02-13 - 2005-02-19,6%,-11%
2005-02-20 - 2005-02-26,7%,-7%
2005-02-27 - 2005-03-05,7%,-2%
2005-03-06 - 2005-03-12,7%,0%
2005-03-13 - 2005-03-19,6%,-7%
2005-03-20 - 2005-03-26,1%,-14%
2005-03-27 - 2005-04-02,5%,-14%
2005-04-03 - 2005-04-09,6%,9%
2005-04-10 - 2005-04-16,9%,-2%
2005-04-17 - 2005-04-23,10%,7%
2005-04-24 - 2005-04-30,9%,7%
2005-05-01 - 2005-05-07,6%,2%
2005-05-08 - 2005-05-14,6%,-5%
2005-05-15 - 2005-05-21,2%,-11%
2005-05-22 - 2005-05-28,6%,-18%
2005-05-29 - 2005-06-04,5%,-25%
2005-06-05 - 2005-06-11,5%,-30%
2005-06-12 - 2005-06-18,0%,-34%
2005-06-19 - 2005-06-25,6%,-34%
2005-06-26 - 2005-07-02,-1%,-34%
2005-07-03 - 2005-07-09,-1%,-36%
2005-07-10 - 2005-07-16,0%,-39%
2005-07-17 - 2005-07-23,0%,-39%
2005-07-24 - 2005-07-30,1%,-36%
2005-07-31 - 2005-08-06,2%,-36%
2005-08-07 - 2005-08-13,1%,-14%
2005-08-14 - 2005-08-20,0%,-27%
2005-08-21 - 2005-08-27,1%,-36%
2005-08-28 - 2005-09-03,-6%,-41%
2005-09-04 - 2005-09-10,-1%,-34%
2005-09-11 - 2005-09-17,0%,-34%
2005-09-18 - 2005-09-24,2%,-25%
2005-09-25 - 2005-10-01,1%,-25%
2005-10-02 - 2005-10-08,7%,-18%
2005-10-09 - 2005-10-15,6%,-25%
2005-10-16 - 2005-10-22,2%,-20%
2005-10-23 - 2005-10-29,2%,-16%
2005-10-30 - 2005-11-05,5%,-9%
2005-11-06 - 2005-11-12,3%,-5%
2005-11-13 - 2005-11-19,5%,5%
2005-11-20 - 2005-11-26,-10%,-11%
2005-11-27 - 2005-12-03,5%,-7%
2005-12-04 - 2005-12-10,-3%,-7%
2005-12-11 - 2005-12-17,-3%,-18%
2005-12-18 - 2005-12-24,-15%,-39%
2005-12-25 - 2005-12-31,-12%,-32%
2006-01-01 - 2006-01-07,-2%,-2%
2006-01-08 - 2006-01-14,1%,5%
2006-01-15 - 2006-01-21,1%,-11%
2006-01-22 - 2006-01-28,3%,-14%
2006-01-29 - 2006-02-04,2%,-14%
2006-02-05 - 2006-02-11,1%,-20%
2006-02-12 - 2006-02-18,1%,-18%
2006-02-19 - 2006-02-25,5%,-14%
2006-02-26 - 2006-03-04,7%,-14%
2006-03-05 - 2006-03-11,5%,-11%
2006-03-12 - 2006-03-18,3%,-18%
2006-03-19 - 2006-03-25,5%,-7%
2006-03-26 - 2006-04-01,5%,-14%
2006-04-02 - 2006-04-08,3%,-7%
2006-04-09 - 2006-04-15,2%,-9%
2006-04-16 - 2006-04-22,5%,-9%
2006-04-23 - 2006-04-29,5%,-5%
2006-04-30 - 2006-05-06,5%,-14%
2006-05-07 - 2006-05-13,2%,-14%
2006-05-14 - 2006-05-20,0%,-20%
2006-05-21 - 2006-05-27,1%,-25%
2006-05-28 - 2006-06-03,-2%,-30%
2006-06-04 - 2006-06-10,-1%,-32%
2006-06-11 - 2006-06-17,2%,-36%
2006-06-18 - 2006-06-24,0%,-34%
2006-06-25 - 2006-07-01,-3%,-32%
2006-07-02 - 2006-07-08,-8%,-36%
2006-07-09 - 2006-07-15,0%,-39%
2006-07-16 - 2006-07-22,-2%,-41%
2006-07-23 - 2006-07-29,0%,-39%
2006-07-30 - 2006-08-05,-2%,-39%
2006-08-06 - 2006-08-12,0%,-39%
2006-08-13 - 2006-08-19,-5%,-39%
2006-08-20 - 2006-08-26,-2%,-41%
2006-08-27 - 2006-09-02,-5%,-41%
2006-09-03 - 2006-09-09,-8%,-36%
2006-09-10 - 2006-09-16,-2%,-32%
2006-09-17 - 2006-09-23,2%,-27%
2006-09-24 - 2006-09-30,2%,-20%
2006-10-01 - 2006-10-07,2%,-27%
2006-10-08 - 2006-10-14,2%,-23%
2006-10-15 - 2006-10-21,2%,-23%
2006-10-22 - 2006-10-28,2%,-14%
2006-10-29 - 2006-11-04,3%,-16%
2006-11-05 - 2006-11-11,1%,-11%
2006-11-12 - 2006-11-18,3%,-2%
2006-11-19 - 2006-11-25,-12%,-20%
2006-11-26 - 2006-12-02,-2%,-11%
2006-12-03 - 2006-12-09,-1%,-9%
2006-12-10 - 2006-12-16,-8%,-20%
2006-12-17 - 2006-12-23,-11%,-30%
2006-12-24 - 2006-12-30,-19%,-32%
2006-12-31 - 2007-01-06,-5%,7%
2007-01-07 - 2007-01-13,2%,-7%
2007-01-14 - 2007-01-20,2%,-16%
2007-01-21 - 2007-01-27,2%,-14%
2007-01-28 - 2007-02-03,1%,-14%
2007-02-04 - 2007-02-10,1%,-23%
2007-02-11 - 2007-02-17,-2%,-25%
2007-02-18 - 2007-02-24,2%,-20%
2007-02-25 - 2007-03-03,2%,-14%
2007-03-04 - 2007-03-10,3%,-7%
2007-03-11 - 2007-03-17,1%,-25%
2007-03-18 - 2007-03-24,2%,-20%
2007-03-25 - 2007-03-31,6%,-20%
2007-04-01 - 2007-04-07,-1%,-27%
2007-04-08 - 2007-04-14,3%,-20%
2007-04-15 - 2007-04-21,-1%,-16%
2007-04-22 - 2007-04-28,0%,-20%
2007-04-29 - 2007-05-05,0%,-18%
2007-05-06 - 2007-05-12,2%,-20%
2007-05-13 - 2007-05-19,1%,-25%
2007-05-20 - 2007-05-26,-2%,-32%
2007-05-27 - 2007-06-02,-3%,-32%
2007-06-03 - 2007-06-09,-1%,-34%
2007-06-10 - 2007-06-16,-5%,-34%
2007-06-17 - 2007-06-23,-3%,-41%
2007-06-24 - 2007-06-30,-2%,-39%
2007-07-01 - 2007-07-07,-9%,-41%
2007-07-08 - 2007-07-14,-2%,-36%
2007-07-15 - 2007-07-21,0%,-39%
2007-07-22 - 2007-07-28,-3%,-34%
2007-07-29 - 2007-08-04,-6%,-34%
2007-08-05 - 2007-08-11,-2%,-39%
2007-08-12 - 2007-08-18,-6%,-45%
2007-08-19 - 2007-08-25,-3%,-43%
2007-08-26 - 2007-09-01,-1%,-41%
2007-09-02 - 2007-09-08,-2%,-39%
2007-09-09 - 2007-09-15,-1%,-36%
2007-09-16 - 2007-09-22,1%,-32%
2007-09-23 - 2007-09-29,1%,-30%
2007-09-30 - 2007-10-06,1%,-27%
2007-10-07 - 2007-10-13,0%,-30%
2007-10-14 - 2007-10-20,1%,-27%
2007-10-21 - 2007-10-27,3%,-30%
2007-10-28 - 2007-11-03,2%,-25%
2007-11-04 - 2007-11-10,1%,-23%
2007-11-11 - 2007-11-17,3%,-18%
2007-11-18 - 2007-11-24,-15%,-30%
2007-11-25 - 2007-12-01,0%,-20%
2007-12-02 - 2007-12-08,-3%,-27%
2007-12-09 - 2007-12-15,-10%,-32%
